Enr	B8	hep	DSN	atm
   3.3500000e+01   0.0000000e+00   0.0000000e+00   1.5712226e-11   8.3895802e-10
   3.3750000e+01   0.0000000e+00   0.0000000e+00   1.5104628e-11   8.2454816e-10
   3.4000000e+01   0.0000000e+00   0.0000000e+00   1.4521254e-11   8.1036456e-10
   3.4250000e+01   0.0000000e+00   0.0000000e+00   1.3961012e-11   7.9640363e-10
   3.4500000e+01   0.0000000e+00   0.0000000e+00   1.3422882e-11   7.8266185e-10
   3.4750000e+01   0.0000000e+00   0.0000000e+00   1.2906000e-11   7.6913590e-10
   3.5000000e+01   0.0000000e+00   0.0000000e+00   1.2409612e-11   7.5582263e-10
   3.5250000e+01   0.0000000e+00   0.0000000e+00   1.1932849e-11   7.4271874e-10
   3.5500000e+01   0.0000000e+00   0.0000000e+00   1.1474854e-11   7.2982095e-10
   3.5750000e+01   0.0000000e+00   0.0000000e+00   1.1034863e-11   7.1712612e-10
   3.6000000e+01   0.0000000e+00   0.0000000e+00   1.0612102e-11   7.0463107e-10
   3.6250000e+01   0.0000000e+00   0.0000000e+00   1.0205907e-11   6.9233281e-10
   3.6500000e+01   0.0000000e+00   0.0000000e+00   9.8155646e-12   6.8022827e-10
   3.6750000e+01   0.0000000e+00   0.0000000e+00   9.4405279e-12   6.6831465e-10
   3.7000000e+01   0.0000000e+00   0.0000000e+00   9.0801689e-12   6.5658902e-10
   3.7250000e+01   0.0000000e+00   0.0000000e+00   8.7338528e-12   6.4504847e-10
   3.7500000e+01   0.0000000e+00   0.0000000e+00   8.4010539e-12   6.3369025e-10
   3.7750000e+01   0.0000000e+00   0.0000000e+00   8.0811346e-12   6.2251145e-10
   3.8000000e+01   0.0000000e+00   0.0000000e+00   7.7736580e-12   6.1150948e-10
   3.8250000e+01   0.0000000e+00   0.0000000e+00   7.4781260e-12   6.0068166e-10
   3.8500000e+01   0.0000000e+00   0.0000000e+00   7.1940307e-12   5.9002531e-10
   3.8750000e+01   0.0000000e+00   0.0000000e+00   6.9209042e-12   5.7953782e-10
