,,,,,,,,
,filename_prefix,livetime,,,,,,
,lux10_20130801T2347,7.11,,,,,,
,lux10_20130802T0700,7.52,,,,,,
,lux10_20130802T1440,8.21,,,,,,
,lux10_20130802T2302,8.11,,,,,,
,lux10_20130803T0716,9.63,,,,,,
,lux10_20130803T1751,6.38,,,,,,
,lux10_20130804T0021,6.53,,,,,,
,lux10_20130804T0659,5.1,,,,,,
,lux10_20130804T1322,8.78,,,,,,
,lux10_20130804T2217,8.55,,,,,,
,lux10_20130805T0657,8.39,,,,,,
,lux10_20130805T1529,7.44,,,,,,
,lux10_20130805T2304,7.71,,,,,,
,lux10_20130806T0654,3.67,,,,,,
,lux10_20130806T1442,0.89,,,,,,
,lux10_20130806T1542,7.28,,,,,,
,lux10_20130806T2309,7.56,,,,,,
,lux10_20130807T0650,3.65,,,,,,
,lux10_20130807T1035,3.39,,,,,,
,lux10_20130807T1403,8.39,,,,,,
,lux10_20130807T2233,8.31,,,,,,
,lux10_20130808T0700,4,,,,,,
,lux10_20130811T1531,7.5,,,,,,
,lux10_20130811T2309,7.54,,,,,,
,lux10_20130812T0648,1.52,,,,,,
,lux10_20130812T2259,7.76,,,,,,
,lux10_20130813T0652,4.36,,,,,,
,lux10_20130817T2300,8.53,,,,,,
,lux10_20130818T0740,7.49,,,,,,
,lux10_20130818T1516,7.69,,,,,,
,lux10_20130818T2305,8.48,,,,,,
,lux10_20130819T0744,7.39,,,,,,
,lux10_20130819T1514,2.27,,,,,,
,lux10_20130819T1734,5.24,,,,,,
,lux10_20130819T2254,8.84,,,,,,
,lux10_20130820T0753,1.01,,,,,,
,lux10_20130820T0959,2.33,,,,,,
,lux10_20130820T1222,3.74,,,,,,
,lux10_20130823T0953,7.24,,,,,,
,lux10_20130823T1717,3.97,,,,,,
,lux10_20130823T2119,8.08,,,,,,
,lux10_20130824T0533,7.98,,,,,,
,lux10_20130824T1339,8.25,,,,,,
,lux10_20130824T2202,8.27,,,,,,
,lux10_20130825T0627,7.96,,,,,,
,lux10_20130825T1432,7.08,,,,,,
,lux10_20130825T2144,8,,,,,,
,lux10_20130826T0551,6.31,,,,,,
,lux10_20130826T1341,7.97,,,,,,
,lux10_20130826T2148,7.71,,,,,,
,lux10_20130827T0537,2.78,,,,,,
,lux10_20130827T1532,5.89,,,,,,
,lux10_20130827T2132,9.33,,,,,,
,lux10_20130828T0700,7.52,,,,,,
,lux10_20130828T1440,6.35,,,,,,
,lux10_20130828T2107,8.65,,,,,,
,lux10_20130829T0554,4.11,,,,,,
,lux10_20130830T0806,8.24,,,,,,
,lux10_20130831T1005,9.56,,,,,,
,lux10_20130901T1035,5.09,,,,,,
